Date,favioriate,share,comment,save,Dan,Bofang
202205,9840,6147,51568,27478,26664,3977392
202204,63748,29334,102756,163856,67781,18771860
202203,73055,32824,219762,170561,442537,21083510
202202,43922,31359,162060,114912,105170,20614948
202201,10203,8067,33588,28214,14112,7682048
202112,52504,30609,163952,191465,88349,31025071
202111,19592,18602,68390,60017,66123,10217386
202109,32054,22219,217896,101077,72396,14560403
202108,29832,20813,126938,49637,48104,10986096
202107,53895,42324,275039,134385,96563,23574119
202106,52363,93724,434649,142127,98428,25649979
202105,87937,25208,209237,152596,83110,26520083
202104,52914,28349,184585,140702,59977,21034716
202103,38177,20432,130080,80473,52621,15775311
202102,38265,17860,122355,103036,63755,18822110
202101,41073,14709,110377,94463,52849,20688379
202012,37345,18777,123940,99132,58304,15670932
202011,44612,12615,90450,58685,39807,12751737
202010,12813,6712,46420,25289,22960,5802333
202009,20399,11954,86782,40683,52572,9083884
202008,6107,7601,33866,13671,19123,3494680
202007,38719,24033,89732,47070,46888,9151957
202006,15653,10214,58443,29062,28876,4955350
202005,14640,8684,54374,26151,21242,4958032
202004,9821,5623,36839,19050,11574,2886205
202003,2221,2655,8181,8303,2004,949231
202002,13842,12373,38720,24512,16972,3443429
202001,19968,13508,47168,43551,11902,9391542
201912,6890,4506,16479,11031,4273,2481150
202205,10492,11238,70569,29103,19998,3368010
202204,34732,40440,251353,78709,45696,9075888
202203,24917,31623,224990,75144,61481,10619040
202202,90330,35953,858627,235595,221414,17204950
202201,140537,54550,776563,301981,153361,23654140
202112,41958,47859,317288,104838,85496,16205839
202111,20475,34561,242491,73926,88754,14657606
202110,35345,36850,224480,86780,75981,10740551
202109,43470,36232,299977,130695,105404,12035851
202108,75362,74443,499304,194774,258000,21589052
202107,71649,39283,431955,179670,103666,17510517
202106,102861,52231,428844,214981,114361,18470321
202105,38152,29396,265859,106729,82918,11591135
202104,39885,55402,301930,132892,102440,14264060
202103,49420,53168,364826,145818,97500,12777086
202101,97484,71053,722268,292326,207255,27087518
202012,80779,62174,582841,241298,154660,19938213
202011,91765,50794,427725,156121,145591,18628929
202010,151331,82230,841794,345023,215475,26453626
202009,59660,90320,572430,209930,209465,20720177
202008,200742,136463,1453662,528558,381037,28146125
202006,189271,131644,1054042,555386,511000,38977265
202005,124960,163596,910933,336761,326139,27699245
202004,502447,215091,2692681,1245904,752323,47778463
202003,262466,178181,2584310,693704,388629,44432071
202204,480677,40085,11424,210266,74581,26809
202203,242475,12156,6744,167332,48111,25134
202109,279422,15334,7240,101302,37723,104261
202105,338940,18310,9163,101996,38230,30392
202103,221625,4075,2540,65518,27122,14314
202102,673704,48755,15586,194431,110803,54702
202101,601735,29385,8223,240849,107383,38598
202012,875852,40828,15391,562148,162165,110001
202011,349469,16747,5601,125582,42902,80912
202010,403613,16349,7410,161993,63251,47414
202009,1343297,99515,26437,811570,350265,96457
202008,1210907,112351,41926,467705,178784,171260
202007,947090,113281,29970,326166,132940,191549
202006,521884,33094,13564,141027,55711,81647
202005,1118909,171841,27866,703297,550174,116602
202002,328853,54003,12246,262032,90890,64425
202001,454607,130353,10126,341448,127126,38839
201912,382227,56448,10101,288563,107480,39201
201911,591014,139357,17616,420930,188945,86705
201910,383480,110676,12179,277344,132041,44145
201909,24178,1186,841,4161,2033,2883
201908,85405,8035,2122,24289,13849,10191
201907,49609,5405,754,15922,6924,2475
201906,12533,598,362,3115,1293,1452
201905,14463,914,566,3073,1977,1356
201904,34318,3308,1060,8132,5677,2758
201903,8769,862,462,1728,993,804
201902,6377,993,408,1302,819,1946
201901,18505,2650,984,3969,2810,2619
201812,18555,11040,1016,5374,4378,2075
201811,7568,501,173,1080,950,215
201810,21054,1743,557,2676,2089,1231
201809,4528,599,134,886,390,240
201808,1520,207,66,351,183,116
201807,8080,962,193,1449,1342,753
201806,9534,1291,264,1704,2418,1219
201805,9003,586,217,869,653,744
201804,16810,961,291,2378,1771,2826
201803,1752,200,63,284,213,1058
201802,1481,176,46,344,121,220
201712,2603,159,96,238,147,127
202205,21777,10650,244540,86672,34917,5586700
202204,8451,9045,79450,28780,14829,3027672
202203,46660,19600,236755,142527,49355,7346481
202202,46663,11090,228007,96986,26416,8586680
202201,96492,18117,404322,206982,42735,11998810
202112,114764,25004,383362,276362,54130,16286342
202111,182060,36158,530534,296600,90429,15189145
202110,86488,20226,384456,182516,49621,13229603
202109,111739,24130,394612,270660,46113,11390661
202108,77567,26510,469493,209842,78660,11199321
202107,55759,18277,292811,122875,37152,9774461
202106,17623,13796,245426,90079,38472,7936263
202104,58094,16466,272643,157629,28022,8016022
202103,156004,22148,686171,312610,43465,12748872
202102,46739,13568,363930,153239,27397,7937242
202101,177648,30439,630490,325994,92356,16915216
202012,52867,24580,400347,160035,80475,12262694
202011,66747,19550,435849,155325,74434,9610439
202010,75452,17475,241400,137044,31717,6505434
202009,73243,12938,274864,148335,27312,6325763
202008,135932,27627,555830,236738,87089,12015059
202007,54524,14020,246967,178306,49907,5740837
202006,24746,11547,215019,71996,38155,5519995
202005,23607,22181,242767,101043,56617,6056754
202004,223733,43272,669261,305064,128254,10292169
202003,31458,16562,181752,58808,59938,4766771
202002,13756,9499,136472,71805,32563,3638554
201912,18035,10259,140760,63466,46823,4393579
201911,19527,10108,146245,86968,45695,3260971
201910,19132,13407,187498,106547,59103,4237985
201909,41262,15334,218501,213297,69173,6510340
201908,17122,17816,143096,119998,63167,4927254
201907,9001,9616,121309,70702,50246,2771910
201906,12357,9941,122084,92053,50748,2175856
201905,12523,8082,93968,97981,18573,1722591
202205,37978,27365,96052,51027,17152,4690553
202204,93323,54159,587080,301628,58587,22472658
202203,67121,54815,231575,122183,53928,17133243
202202,48068,14843,124094,92216,19932,8174996
202112,123177,76389,330278,221554,123414,19432042
202111,120303,55978,271456,151361,48469,13445751
202110,68653,40347,648570,256224,72142,15353333
202109,53195,75950,233347,127355,86814,12398926
202108,45919,34165,151035,79251,46710,11628845
202107,69251,32126,173108,99806,37446,11594291
202106,54813,26267,189866,151199,43494,12178563
202105,88012,39401,298845,129242,84385,15805388
202104,117918,49907,319704,198521,61975,15319994
202103,52000,29136,185872,98959,45714,12087792
202102,69450,42947,338137,165544,320646,17570005
202101,57914,33734,173908,93516,46325,13033133
202012,121839,59120,298717,177318,91755,21419332
202011,166904,85058,380507,195023,146529,19468432
202010,144285,62246,556816,247284,110416,22602010
202009,107889,43431,314979,187928,68963,14558009
202008,170932,90144,601119,302442,138326,23819843
202007,235732,80862,460014,240093,144668,22615593
202006,251508,92689,658427,375472,200558,21381937
202005,331892,196480,1039459,432747,320366,24474604
202004,347484,129711,2016530,940179,439289,36820199
202003,539242,101318,1350194,583643,369264,31517926
202002,895915,92664,1636882,714893,264776,31385027
202001,697731,62409,1843979,931563,118551,23883999
201912,19108,8762,93669,34850,22013,4083088
,,,,,,
202205,74453,30840,654145,102148,94869,8803081
202204,6700,4883,23400,9429,5062,2815388
202203,18321,13756,86130,32390,40756,10517252
202201,66645,41018,228998,65362,74022,13662995
202112,48113,21431,259124,51975,66500,6475813
202111,216402,50762,875689,191985,117556,17229784
202110,538820,24832,15533,109799,24496,67199
202109,181815,44062,733839,138236,143714,18059030
202108,23524,20443,92192,19887,42086,4895121
202107,27766,22969,294666,50505,70862,9218713
202106,43852,11903,600270,100299,51517,7323313
202105,38681,15567,209419,41066,53128,7627033
202104,140447,32738,946309,200428,105295,16464839
202103,50763,30029,352628,64085,68340,12706178
202102,11323,13345,87455,20962,22709,6336892
202101,68496,33335,548628,108041,96205,12084510
202012,128942,35222,558164,129862,125105,15207503
202011,66955,30978,252862,61579,57303,16822848
202010,480338,39305,14253,108468,22031,33956
202009,103947,46336,669339,198625,141973,29135832
202008,84390,21672,196442,49890,58939,10187135
202007,127240,38324,424248,86799,101140,16523895
202006,151669,45043,653253,142244,101740,24177326
202005,113414,38476,421066,94877,87182,16652655
202004,197844,40523,533138,148415,71325,16807145
202003,131731,53506,488558,112408,163707,19269076
202002,171695,32619,435571,105919,100154,15677593
202001,29547,8893,169978,33467,34465,5848332
201912,59534,19349,174846,39384,32249,11599065
201911,121996,26504,221169,54290,48765,14590753
201910,20133,14209,88179,19769,37051,9631922
201909,31863,19971,163895,40958,30943,13562649
201908,135820,28037,223404,57654,41152,11803935
201907,119365,32932,454035,105007,68027,17621372
201906,280832,44813,592857,175796,80630,23437068
201905,28961,19583,123662,29472,27862,12389412
201904,147613,27632,261327,76505,36010,17215855
201903,71185,24471,155165,44130,32956,13318589
201902,13852,7617,57948,14922,11644,5390634
201901,31482,12913,87519,19824,14005,7150400
201812,32885,17910,103314,21788,23585,10429748
201811,66304,19071,109862,29790,23691,14208270
201810,117346,28189,203606,48252,32249,20249475
201809,78204,14746,107533,28266,15008,9688011
202205,9084,2692,9593,7608,1192,2131850
202204,14563,7405,87150,30083,12141,5298556
202203,107219,12941,162002,72380,19512,10620114
202202,26832,8049,45013,27682,6451,6601045
202201,104161,16889,92852,83131,15544,16798019
202112,64203,15401,171657,90917,23852,16210961
202111,37938,10055,107323,62279,12975,8900279
202110,20961,9324,15808,29876,5448,3941155
202109,32867,12640,56394,33979,16765,8743233
202108,36704,11261,84535,46538,12742,9311922
202106,11360,7509,26410,19454,4870,5467941
202105,81218,11938,167209,76761,11739,7840306
202104,18131,8123,53889,31383,10213,6552933
202103,27903,7216,89915,49353,11111,8155459
202102,46389,10971,133349,49579,15140,7129467
202101,6930,3630,25726,17484,7610,5287014
202012,22768,7428,66355,32494,13113,4554673
202011,14456,2840,39553,13594,4092,3201201
202010,2240,1582,13169,8452,9550,1679551
202009,47889,19886,631828,152042,51433,7958103
202003,3192,4600,18253,8822,6825,3034589
202002,11567,4951,27863,13987,28346,3737091
202001,14081,5502,273480,42448,25106,6141091
201912,5825,1780,68585,11761,4224,3227868
201911,70103,23482,371046,81711,72029,9910752
201910,5660,1156,12789,7399,6660,2455224
201909,81485,23144,228645,96391,68851,15102338
201908,43735,17276,95768,53141,29130,7705193
201907,11288,8458,86663,33954,24870,7742959
201906,12532,12415,54050,21240,13787,5718070
201905,61758,14356,328685,138639,34017,10774306
201904,14126,6290,52416,30435,27017,4424417
201903,42766,10612,91074,44206,20099,4854350
201902,24572,12403,92933,31700,34627,6765967
201901,77772,14712,191772,56405,35567,6207776
201812,25065,22963,109999,34885,44362,4901720
201811,13445,4295,33912,10386,12319,2614865
201810,15028,11732,78088,23023,27905,5008776
201809,41731,29976,155843,54982,131529,10898391
201807,31801,14730,50342,17611,23373,4500236
201806,41188,15768,143814,48287,53523,6792732
201805,54335,8233,51307,22449,40371,3977643
201804,27997,22614,116801,37482,55394,7677301
201803,569,5597,9817,1559,1266,1623913
201802,42808,25429,125476,34655,90690,5789210
201801,17341,14620,61450,17227,29963,5420742
201712,61066,32176,107686,48188,87004,6047818
201711,64879,16356,103569,35390,43312,7238549
201710,42312,16893,103788,32460,58874,7545171
201709,91660,49085,176216,89098,132702,14135867
201708,28721,30960,127774,45603,64937,9460113
201707,23191,45045,96109,31579,68620,9546520
201706,22436,19460,49876,27928,71974,4455191
201705,53442,59773,201128,91508,107307,11893692
201704,58578,31826,204814,89048,97711,11814296
201703,44794,18552,109334,77694,39592,8631037
201702,41380,27502,68053,30738,78627,7070000
201701,52834,32739,189685,74625,86568,9265272
201612,32376,45455,150394,77107,111438,16967023
201611,31400,29966,96920,56594,113542,11288313
201610,58051,51625,203168,102315,202703,17846332
201609,24401,28889,100695,65237,101191,13365822
201608,35577,41412,133733,87698,109150,14946977
201607,35947,42211,131216,98610,157996,16598910
201606,39552,32596,99698,71503,103320,14526107
201605,37904,30947,141093,66835,127255,13696898
201604,50918,61988,221112,90813,69232,16862137
201603,34413,26623,83899,39105,11443,7837875
201602,110835,21415,140919,110016,26145,13811320
201601,16009,2043,15674,14437,25048,4965991
201512,4797,3089,12806,13028,8378,6001680
201511,15281,9973,31326,28944,18635,10711907
202205,1356068,19444,24430,643930,173790,142292
202204,2305101,58375,40119,1315472,333842,362621
202203,762535,9812,12525,296661,127870,84325
202202,561656,6766,9888,141638,55430,42568
202201,1121366,30121,22915,352165,142997,106152
202112,1519604,24608,19312,348068,127951,120170
202111,998924,14356,14155,384220,116518,149591
202110,56655,41879,927768,290895,283603,28184340
202109,1116947,26222,20389,299976,115733,97919
202108,20547,22318,288370,111118,123787,12086868
202107,2033887,52787,70235,576616,238468,165491
202106,1141649,29336,18098,287188,115007,90094
202105,48979,20640,365776,147408,106030,15084109
202104,2494570,177395,35796,1025083,372551,175252
202103,869748,16541,11146,223854,85739,69980
202102,1126680,15586,29633,378047,134121,93416
202101,1330610,31082,15816,319686,133029,92732
202012,1000845,23093,9731,282596,121026,61212
202011,586051,21989,7151,137767,67324,44520
202010,2070493,54922,17520,492410,218966,148240
202009,1965659,46909,48206,977757,243128,539590
202008,1527105,22804,81768,941153,122871,815674
202007,580100,10161,23027,210201,57534,98359
202006,1581785,21374,27437,326169,165837,191474
202005,1956282,30844,50905,466233,231293,472049
202004,1585853,25877,43653,488547,195331,249388
202003,2254057,88883,59734,537768,245898,599986
202002,1051748,31847,29439,203972,99875,237217
202001,1168036,81354,13453,268404,152008,177847
201912,532127,13930,11572,101835,55892,81915
201911,778672,61370,13884,255982,135554,231650
201910,594569,14018,10366,135097,65416,95667
201909,1208431,52506,18766,281593,153107,221431
201908,899871,22025,30173,363320,127901,245478
201907,839015,23851,26492,338185,124758,243773
201906,595271,14189,24505,161126,69325,159843
201905,1056282,33260,38600,338015,148177,226222
201904,791501,25776,27179,250530,130094,178617
201903,1024977,60078,47860,246244,167629,271867
201902,1317091,112615,47841,678279,215543,282011
201901,936035,40251,39593,192993,92178,166287
201812,739622,134958,22727,211136,194921,241366
201811,309060,71930,12596,93918,107338,177231
201810,410422,51860,22171,163000,78623,168909
201809,167643,6043,12195,37478,22649,101003
201808,259115,13051,19245,75146,45812,104638
201807,34578,4339,1299,7185,8160,14547
201806,20142,852,652,5773,2879,4164
201805,15197,761,790,3939,3286,5998
201804,21177,2066,1274,7868,4189,6853
201802,4157,77,399,1034,446,1419
201801,30673,2759,1850,8400,5761,10695
201712,30747,1512,1381,5824,5623,12960
201711,57182,1168,2186,8879,7563,17835
201710,16001,1378,350,1566,3301,3599
201611,2888,23,287,319,297,293
201610,19219,290,2266,2035,1999,7428
202205,12579,5042,35160,19387,8472,2352837
202204,17167,13443,210955,48947,38563,10764511
202203,37459,20056,584074,132362,41312,12943386
202202,8239,5683,198101,42451,31035,11039662
202201,71388,12651,151254,86707,33889,9810506
202112,10526,12318,225166,48811,32729,10360870
202111,9273,16049,240767,52067,45844,13408370
202110,10296,20772,220042,47736,42330,10835352
202109,6254,11561,95004,26047,25455,8101335
202108,13855,18534,217114,45388,46676,9266427
202107,13253,58442,283677,67671,51045,14067454
202106,26706,35942,2452890,419330,64446,16034940
202105,9269,22293,220413,55962,36897,14288200
202104,9893,11019,124767,30090,22200,6867785
202103,18055,26069,249165,62985,63124,12731238
202102,25389,53128,638639,152230,112932,25541336
202101,2044,8479,58886,15878,14989,3806777
202012,5035,6761,87648,21931,15979,3686296
202011,30303,22242,696677,135100,34692,8233193
202010,16670,74717,265854,81877,79743,21582131
202009,15831,19467,289738,79329,49674,13645446
202008,44627,83782,1337100,275310,293754,30639787
202007,47219,52958,1260833,237825,109703,18408637
202005,33564,119964,979787,178903,188729,35135449
202004,90590,178371,2009013,452014,640434,58975554
202003,115610,138342,1507879,320914,470986,53385432
202002,14091,45080,556884,108971,180445,9838875
202001,64380,82591,973602,256109,191908,49679816
201912,54025,82861,1489724,307132,304848,52643641
201911,92334,82776,1316196,280957,230080,59559464
201910,112278,156690,2148590,426641,447120,72186889
201909,108140,165261,1374724,327281,307662,56724426
